semantic_pattern,syntactic_key,display_path,count
技术 → 具有 → 特性,nn->nsubj->root->root->dobj->nn,飞机(nn) — 结构(nsubj) — 是(root) — 具有(root) — 优势(dobj) — 在线性(nn),1
技术 → 具有 → 特性,nn->nsubj->root->root->dobj->nn->conj,飞机(nn) — 结构(nsubj) — 是(root) — 具有(root) — 优势(dobj) — 在线性(nn) — 实时性(conj),1
技术 → 具有 → 能力,nn->nsubj->rcmod->dobj->conj,Elman(nn) — 网络(nsubj) — 良好(rcmod) — 能力(dobj) — 能力(conj),1
技术 → 具有 → 能力,nn->nsubj->rcmod->dobj->conj->amod,Elman(nn) — 网络(nsubj) — 良好(rcmod) — 能力(dobj) — 能力(conj) — 非线性(amod),1
技术 → 具有 → 能力,nn->nsubj->rcmod->dobj->nn,Elman(nn) — 网络(nsubj) — 良好(rcmod) — 能力(dobj) — 泛化(nn),1
技术 → 具有应用价值 → 应用领域,amod->nn->nsubj->root->conj->prep->pobj->nn,大(amod) — 数据(nn) — 技术(nsubj) — 得到(root) — 得到(conj) — 在(prep) — 领域(pobj) — 航空(nn),1
技术 → 具有应用价值 → 应用领域,amod->nn->nsubj->root->root->prep->pobj->nn->conj->nn,大(amod) — 数据(nn) — 技术(nsubj) — 得到(root) — 有(root) — 在(prep) — 领域(pobj) — 保障(nn) — 设计(conj) — 飞行器(nn),1
技术 → 具有应用价值 → 应用领域,amod->nn->nsubj->root->root->prep->pobj->nn->conj->nn->nn->nn,大(amod) — 数据(nn) — 技术(nsubj) — 得到(root) — 有(root) — 在(prep) — 领域(pobj) — 保障(nn) — 预测(conj) — 系统(nn) — 级(nn) — 故障(nn),1
技术 → 分析 → 参数,nn->nn->nn->nn->nsubj->root->dep->prep->pccomp->prep->pobj->nn,航空(nn) — 发动机(nn) — 气路(nn) — 故障(nn) — 诊断(nsubj) — 是(root) — 识别(dep) — 通过(prep) — 进行(pccomp) — 对(prep) — 参数(pobj) — 气路(nn),1
技术 → 分析 → 数据,nn->nn->nsubj->pccomp->prep->ccomp->dobj->nn,数据(nn) — 挖掘(nn) — 技术(nsubj) — 分析(pccomp) — 通过(prep) — 研究(ccomp) — 资源(dobj) — 数据(nn),1
技术 → 包含 → 关键技术,nn->conj->nn->assmod->dobj->conj->root->conj->dobj->nn->conj->nn,电子(nn) — 预测(conj) — 航空(nn) — 管理(assmod) — 技术(dobj) — 探讨(conj) — 分析(root) — 包括(conj) — 类别(dobj) — 电路(nn) — 先兆(conj) — 故障(nn),1
技术 → 包含 → 关键技术,nn->conj->nn->assmod->dobj->conj->root->conj->dobj->nn->conj->nn->nn,电子(nn) — 预测(conj) — 航空(nn) — 管理(assmod) — 技术(dobj) — 探讨(conj) — 分析(root) — 包括(conj) — 类别(dobj) — 电路(nn) — 分析(conj) — 失效(nn) — 机理(nn),1
技术 → 包含 → 关键技术,nn->conj->nn->assmod->dobj->conj->root->conj->dobj->nn->conj->nn->nn,电子(nn) — 预测(conj) — 航空(nn) — 管理(assmod) — 技术(dobj) — 探讨(conj) — 分析(root) — 包括(conj) — 类别(dobj) — 电路(nn) — 评估(conj) — 应力(nn) — 损伤(nn),1
技术 → 包含 → 关键技术,nn->conj->nn->assmod->dobj->conj->root->conj->dobj->nn->prnmod->punct,电子(nn) — 预测(conj) — 航空(nn) — 管理(assmod) — 技术(dobj) — 探讨(conj) — 分析(root) — 包括(conj) — 类别(dobj) — 电路(nn) — canary(prnmod) — ((punct),1
技术 → 包含 → 功能,nsubj->root->prep->pobj->amod->nn->conj,PHM(nsubj) — 是(root) — 作为(prep) — 技术(pobj) — 综合化(amod) — 系统(nn) — 检测(conj),1
技术 → 包含 → 功能,nsubj->root->prep->pobj->nn->nn,PHM(nsubj) — 是(root) — 作为(prep) — 技术(pobj) — 管理(nn) — 健康(nn),1
技术 → 包含 → 功能,nsubj->root->prep->pobj->nn->nn->conj,PHM(nsubj) — 是(root) — 作为(prep) — 技术(pobj) — 管理(nn) — 故障(nn) — 诊断(conj),1
技术 → 包含 → 功能,nsubj->root->prep->pobj->nn->nn->conj,PHM(nsubj) — 是(root) — 作为(prep) — 技术(pobj) — 管理(nn) — 故障(nn) — 预测(conj),1
技术 → 包含 → 技术,cc->nn->dep->root->attr->nn,与(cc) — 健康(nn) — 管理(dep) — 是(root) — 手段(attr) — 技术(nn),1
技术 → 包含 → 方法,cc->dep->nn->conj,与(cc) — 管理(dep) — 健康(nn) — 预测(conj),1
技术 → 包含 → 方法,cc->nn->dep,与(cc) — 健康(nn) — 管理(dep),1
技术 → 包含 → 方法,nn->nn->assmod->conj->dobj->root->conj->prep->pobj->conj->amod,挖掘(nn) — 数据(nn) — 工具(assmod) — 模式(conj) — 流程(dobj) — 总结(root) — 进行(conj) — 对(prep) — 案例(pobj) — 算法(conj) — 遗传(amod),1
技术 → 包含 → 方法,nn->nn->assmod->conj->dobj->root->conj->prep->pobj->conj->nn,挖掘(nn) — 数据(nn) — 工具(assmod) — 模式(conj) — 流程(dobj) — 总结(root) — 进行(conj) — 对(prep) — 案例(pobj) — 理论(conj) — 证据(nn),1
技术 → 包含 → 方法,nn->nn->assmod->conj->dobj->root->conj->prep->pobj->conj->nn,挖掘(nn) — 数据(nn) — 工具(assmod) — 模式(conj) — 流程(dobj) — 总结(root) — 进行(conj) — 对(prep) — 案例(pobj) — 网络(conj) — 神经(nn),1
技术 → 包含 → 方法,nn->nn->assmod->conj->dobj->root->conj->prep->pobj->conj->nn,挖掘(nn) — 数据(nn) — 工具(assmod) — 模式(conj) — 流程(dobj) — 总结(root) — 进行(conj) — 对(prep) — 案例(pobj) — 逻辑(conj) — 模糊(nn),1
技术 → 包含 → 方法,nn->nn->assmod->conj->dobj->root->conj->prep->pobj->conj->nn->nn,挖掘(nn) — 数据(nn) — 工具(assmod) — 模式(conj) — 流程(dobj) — 总结(root) — 进行(conj) — 对(prep) — 案例(pobj) — 分析(conj) — 时间(nn) — 序列(nn),1
技术 → 包含 → 方法,nn->nn->assmod->conj->dobj->root->conj->prep->pobj->nn->nn,挖掘(nn) — 数据(nn) — 工具(assmod) — 模式(conj) — 流程(dobj) — 总结(root) — 进行(conj) — 对(prep) — 案例(pobj) — 向量机(nn) — 支持(nn),1
技术 → 包含 → 管理方法,conj->assmod->pobj->prep->root->root->ccomp->conj->prep->pobj->conj->nn,技术(conj) — 技术(assmod) — 发展(pobj) — 随着(prep) — 复杂(root) — 研究(root) — 采用(ccomp) — 解决(conj) — 通过(prep) — 管理(pobj) — 管理(conj) — 故障(nn),1
技术 → 包含 → 管理方法,conj->assmod->pobj->prep->root->root->ccomp->conj->prep->pobj->nn,技术(conj) — 技术(assmod) — 发展(pobj) — 随着(prep) — 复杂(root) — 研究(root) — 采用(ccomp) — 解决(conj) — 通过(prep) — 管理(pobj) — 配置(nn),1
技术 → 包含 → 管理方法,conj->assmod->pobj->prep->root->root->ccomp->conj->prep->pobj->nn->conj,技术(conj) — 技术(assmod) — 发展(pobj) — 随着(prep) — 复杂(root) — 研究(root) — 采用(ccomp) — 解决(conj) — 通过(prep) — 管理(pobj) — 健康(nn) — 管理(conj),1
技术 → 包含 → 管理方法,conj->assmod->pobj->prep->root->root->ccomp->conj->prep->pobj->nn->conj,技术(conj) — 技术(assmod) — 发展(pobj) — 随着(prep) — 复杂(root) — 研究(root) — 采用(ccomp) — 解决(conj) — 通过(prep) — 管理(pobj) — 安全(nn) — 管理(conj),1
技术 → 包含 → 组成部分,nn->nsubj->root->root->dobj->amod->conj,飞机(nn) — 结构(nsubj) — 是(root) — 阐释(root) — 方法(dobj) — 基本(amod) — 内涵(conj),1
技术 → 包含 → 组成部分,nn->nsubj->root->root->dobj->conj,飞机(nn) — 结构(nsubj) — 是(root) — 阐释(root) — 方法(dobj) — 任务(conj),1
技术 → 包含 → 组成部分,nn->nsubj->root->root->dobj->nn,飞机(nn) — 结构(nsubj) — 是(root) — 阐释(root) — 方法(dobj) — 实施(nn),1
技术 → 包含方法 → 方法,nn->nn->nn->assmod->pobj->root->root->dobj->rcmod->dobj->cc->nn,气路(nn) — 故障(nn) — 诊断(nn) — 技术(assmod) — 进步(pobj) — 随着(root) — 研究(root) — 优缺点(dobj) — 基于(rcmod) — 融合(dobj) — 和(cc) — 信息(nn),1
技术 → 包含方法 → 方法,nn->nn->nn->assmod->pobj->root->root->dobj->rcmod->dobj->punct->nn->conj,气路(nn) — 故障(nn) — 诊断(nn) — 技术(assmod) — 进步(pobj) — 随着(root) — 研究(root) — 优缺点(dobj) — 基于(rcmod) — 融合(dobj) — 、(punct) — 数据(nn) — 驱动(conj),1
技术 → 包含方法 → 方法,nn->nn->nn->assmod->pobj->root->root->dobj->rcmod->nn->conj,气路(nn) — 故障(nn) — 诊断(nn) — 技术(assmod) — 进步(pobj) — 随着(root) — 研究(root) — 优缺点(dobj) — 基于(rcmod) — 数学(nn) — 模型(conj),1
技术 → 包括 → 方法,nn->nsubj->root->root->dobj->nn->conj->nn,航空(nn) — 发动机(nsubj) — 汇集(root) — 包括(root) — 技术(dobj) — 学习(nn) — 分析(conj) — 动力学(nn),1
技术 → 包括 → 方法,nn->nsubj->root->root->dobj->nn->conj->nn,航空(nn) — 发动机(nsubj) — 汇集(root) — 包括(root) — 技术(dobj) — 学习(nn) — 处理(conj) — 信号(nn),1
技术 → 包括 → 方法,nn->nsubj->root->root->dobj->nn->nn,航空(nn) — 发动机(nsubj) — 汇集(root) — 包括(root) — 技术(dobj) — 学习(nn) — 深度(nn),1
技术 → 反映 → 现象,nn->nn->nsubj->rcmod->nsubj->nn->nn,监测(nn) — 静电(nn) — 信号(nsubj) — 获得(rcmod) — 实验(nsubj) — 试车台(nn) — 发动机(nn),1
技术 → 发展为 → 技术,conj->nn->nn->assmod->dobj->root->conj->dobj->nn->nn,诊断(conj) — 故障(nn) — 管理(nn) — 技术(assmod) — 历程(dobj) — 回顾(root) — 考察(conj) — 现状(dobj) — 技术(nn) — PHM(nn),1
技术 → 响应 → 需求,amod->amod->amod->nn->top->root->root->conj->prep->pobj->amod,机载(amod) — 无线(amod) — 传感(amod) — 网络(nn) — 技术(top) — 是(root) — 分析(root) — 给出(conj) — 对(prep) — 需求(pobj) — 实际(amod),1
技术 → 响应 → 需求,punct->prnmod->top->root->root->prep->pobj->nn,((punct) — PHM(prnmod) — 管理(top) — 是(root) — 入手(root) — 从(prep) — 需求(pobj) — 军事(nn),1
技术 → 基于 → 技术,punct->nn->root->root->conj->prep->pobj,、(punct) — 制造(nn) — 复杂(root) — 划分(root) — 联系(conj) — 基于(prep) — 网络(pobj),1
技术 → 基于 → 数据,nn->nn->nn->dobj->ccomp->root->root->dobj->rcmod->nsubj->nn,时序(nn) — 回归(nn) — 预测(nn) — 技术(dobj) — 采用(ccomp) — 提出(root) — 研究(root) — 频率(dobj) — 发生(rcmod) — 系统(nsubj) — 起落架(nn),1
技术 → 基于 → 概念,punct->prnmod->nn->assmod->pobj->prep->root->prep->pobj->nn->nn,)(punct) — PHM(prnmod) — 管理(nn) — 技术(assmod) — 需求(pobj) — 对(prep) — 进行(root) — 基于(prep) — 曲线(pobj) — 健康(nn) — 退化(nn),1
技术 → 处于 → 阶段,amod->conj->nn->pobj->prep->rcmod->dobj->root->ccomp->nsubj->nn,主动(amod) — 控制(conj) — 控制(nn) — 领域(pobj) — 在(prep) — 进行(rcmod) — 工作(dobj) — 介绍(root) — 围绕(ccomp) — 中心(nsubj) — 研究(nn),1
技术 → 处于 → 阶段,amod->nn->pobj->prep->rcmod->dobj->root->ccomp->nsubj->nn,分布式(amod) — 控制(nn) — 领域(pobj) — 在(prep) — 进行(rcmod) — 工作(dobj) — 介绍(root) — 围绕(ccomp) — 中心(nsubj) — 研究(nn),1
技术 → 处理 → 故障,nn->nn->nsubj->root->root->conj->dep->ccomp->prep->pobj,AHM(nn) — 技术(nn) — 革新(nsubj) — 得到(root) — 转向(root) — 得到(conj) — 实现(dep) — 进行(ccomp) — 对(prep) — 失效(pobj),1
技术 → 处理 → 故障,nn->nn->nsubj->root->root->conj->dep->ccomp->prep->pobj->conj,AHM(nn) — 技术(nn) — 革新(nsubj) — 得到(root) — 转向(root) — 得到(conj) — 实现(dep) — 进行(ccomp) — 对(prep) — 失效(pobj) — 异常(conj),1
技术 → 存在 → 挑战,nn->nn->nsubj->root->conj->dobj->assmod->nn,气路(nn) — 故障(nn) — 诊断(nsubj) — 是(root) — 成为(conj) — 热点(dobj) — 领域(assmod) — 技术(nn),1
技术 → 存在 → 挑战,nn->nn->nsubj->root->root->conj->dobj,气路(nn) — 故障(nn) — 诊断(nsubj) — 是(root) — 阐述(root) — 指出(conj) — 难点(dobj),1
技术 → 存在问题 → 问题,amod->nn->nn->nsubj->rcmod,产生式(amod) — 推理(nn) — 规则(nn) — 效率(nsubj) — 低下(rcmod),1
技术 → 存在问题 → 问题,amod->nsubj->lccomp->loc->rcmod->nn->nsubj->amod->nsubj,异构(amod) — 信息(nsubj) — 融合(lccomp) — 时(loc) — 困难(rcmod) — 知识(nn) — 元权(nsubj) — 重(amod) — 分配(nsubj),1
技术 → 安排 → 计划,nn->conj->assm->assmod->nsubj->root->conj->dep->dobj->nn,健康(nn) — 管理(conj) — 的(assm) — 飞机(assmod) — 技术(nsubj) — 重要(root) — 保证(conj) — 安排(dep) — 计划(dobj) — 维修(nn),1
技术 → 实现 → 任务,nn->top->root->attr->rcmod->dobj->conj,数据(nn) — 挖掘(top) — 是(root) — 技术(attr) — 实现(rcmod) — 预测(dobj) — 诊断(conj),1
技术 → 实现 → 任务,nn->top->root->root->attr->rcmod->nsubj,数据(nn) — 挖掘(top) — 是(root) — 是(root) — 技术(attr) — 确保(rcmod) — 发动机(nsubj),1
技术 → 实现 → 任务,nn->top->root->root->top->nn->conj,数据(nn) — 挖掘(top) — 是(root) — 是(root) — 管理(top) — 健康(nn) — 预测(conj),1
技术 → 实现 → 功能,amod->nn->dobj->dep->root->dep->dobj->assmod,虚拟(amod) — 仪器(nn) — 技术(dobj) — 采用(dep) — 为(root) — 实现(dep) — 分析(dobj) — 油压(assmod),1
技术 → 实现 → 功能,conj->nn->nsubj->root->conj->dobj->assmod->amod,预测(conj) — 故障(nn) — 技术(nsubj) — 是(root) — 实现(conj) — 功能(dobj) — 决策(assmod) — 综合(amod),1
技术 → 实现 → 功能,conj->nn->nsubj->root->conj->dobj->assmod->conj,预测(conj) — 故障(nn) — 技术(nsubj) — 是(root) — 实现(conj) — 功能(dobj) — 决策(assmod) — 诊断(conj),1
技术 → 实现 → 功能,conj->nn->nsubj->root->conj->dobj->assmod->conj->nn,预测(conj) — 故障(nn) — 技术(nsubj) — 是(root) — 实现(conj) — 功能(dobj) — 决策(assmod) — 检测(conj) — 故障(nn),1
技术 → 实现 → 功能,conj->nn->nsubj->root->conj->dobj->assmod->conj->nn,预测(conj) — 故障(nn) — 技术(nsubj) — 是(root) — 实现(conj) — 功能(dobj) — 决策(assmod) — 评估(conj) — 状态(nn),1
技术 → 实现 → 功能,nn->nn->nsubj->root->conj->prep->pobj->assmod->pobj->nn,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 起到(conj) — 为(prep) — 发展(pobj) — 在(assmod) — 行业(pobj) — 管道(nn),1
技术 → 实现 → 功能,nn->nsubj->nn->conj,故障(nn) — 技术(nsubj) — 管理(nn) — 预测(conj),1
技术 → 实现 → 属性,amod->top->root->attr->rcmod->dobj,综合(amod) — 诊断(top) — 是(root) — 方向(attr) — 实现(rcmod) — 保障性(dobj),1
技术 → 实现 → 属性,amod->top->root->attr->rcmod->dobj->conj,综合(amod) — 诊断(top) — 是(root) — 方向(attr) — 实现(rcmod) — 保障性(dobj) — 可靠性(conj),1
技术 → 实现 → 属性,amod->top->root->attr->rcmod->dobj->conj,综合(amod) — 诊断(top) — 是(root) — 方向(attr) — 实现(rcmod) — 保障性(dobj) — 维修性(conj),1
技术 → 实现 → 维护策略,cc->nn->top->root->attr->rcmod->conj->dobj->ordmod->clf->nn,与(cc) — 健康(nn) — 管理(top) — 是(root) — 技术(attr) — 确保(rcmod) — 实现(conj) — 维修(dobj) — 二(ordmod) — 级(clf) — 视情(nn),1
技术 → 应用 → 实现方法,nn->conj->nn->assmod->dobj->conj->root->conj->dobj->assmod->nn->conj->amod,电子(nn) — 预测(conj) — 航空(nn) — 管理(assmod) — 技术(dobj) — 探讨(conj) — 分析(root) — 分析(conj) — 应用(dobj) — 技术(assmod) — 预测(nn) — 智能(conj) — 人工(amod),1
技术 → 应用 → 实现方法,nn->conj->nn->assmod->dobj->conj->root->conj->dobj->assmod->nn->conj->nn,电子(nn) — 预测(conj) — 航空(nn) — 管理(assmod) — 技术(dobj) — 探讨(conj) — 分析(root) — 分析(conj) — 应用(dobj) — 技术(assmod) — 预测(nn) — 融合(conj) — 信息(nn),1
技术 → 应用 → 实现方法,nn->conj->nn->assmod->dobj->conj->root->conj->dobj->assmod->nn->punct->nn->conj,电子(nn) — 预测(conj) — 航空(nn) — 管理(assmod) — 技术(dobj) — 探讨(conj) — 分析(root) — 分析(conj) — 应用(dobj) — 技术(assmod) — 预测(nn) — 、(punct) — 数据(nn) — 挖掘(conj),1
技术 → 应用于 → 产品,amod->nn->nsubj->conj->prep->pobj->nn,人工(amod) — 智能(nn) — 技术(nsubj) — 应用(conj) — 于(prep) — 民机(pobj) — 未来(nn),1
技术 → 应用于 → 应用,nn->nn->nn,温度(nn) — 参数(nn) — 试车台(nn),1
技术 → 应用于 → 应用,nn->nn->nsubj->root->root->conj->dobj->assmod->pobj->nn->amod->nn,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 介绍(root) — 分析(conj) — 案例(dobj) — 在(assmod) — 行业(pobj) — 装配(nn) — 复杂(amod) — 产品(nn),1
技术 → 应用于 → 应用,nn->nn->nsubj->root->root->conj->dobj->assmod->pobj->nn->conj->nn,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 介绍(root) — 分析(conj) — 案例(dobj) — 在(assmod) — 行业(pobj) — 装配(nn) — 设计(conj) — 产品(nn),1
技术 → 应用于 → 应用,nn->nn->nsubj->root->root->conj->dobj->assmod->pobj->nn->conj->nn->nn,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 介绍(root) — 分析(conj) — 案例(dobj) — 在(assmod) — 行业(pobj) — 装配(nn) — 预测(conj) — 飞机(nn) — 故障(nn),1
技术 → 应用于 → 应用,nn->nn->nsubj->root->root->conj->dobj->assmod->pobj->nn->conj->nn->nn->nn->nn->nn,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 介绍(root) — 分析(conj) — 案例(dobj) — 在(assmod) — 行业(pobj) — 装配(nn) — 管理(conj) — 电厂(nn) — 发电(nn) — 机组(nn) — 智能(nn) — 健康(nn),1
技术 → 应用于 → 应用,nn->nn->nsubj->root->root->conj->prep->pobj->nn->conj->nn,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 介绍(root) — 分析(conj) — 从(prep) — 方面(pobj) — 管理(nn) — 优化(conj) — 调度(nn),1
技术 → 应用于 → 应用领域,amod->nn->nsubj->root->root->prep->pobj->nn->conj->nn->nn->nn,大(amod) — 数据(nn) — 技术(nsubj) — 得到(root) — 有(root) — 在(prep) — 领域(pobj) — 保障(nn) — 预测(conj) — 系统(nn) — 级(nn) — 故障(nn),1
技术 → 应用于 → 应用领域,cc->nn->nn->nn->dobj->assmod->plmod->lobj->nn->nn,与(cc) — 健康(nn) — 管理(nn) — 技术(nn) — 应用(dobj) — 在(assmod) — 中(plmod) — 测试(lobj) — 军工(nn) — 装备(nn),1
技术 → 应用于 → 应用领域,cc->nn->nn->nsubj->conj->conj->dobj->assmod->pobj->nn->conj,与(cc) — 健康(nn) — 管理(nn) — 技术(nsubj) — 回顾(conj) — 介绍(conj) — 现状(dobj) — 在(assmod) — 领域(pobj) — 研究(nn) — 军事(conj),1
技术 → 应用于 → 应用领域,cc->nn->nn->nsubj->conj->conj->dobj->assmod->pobj->nn->nn,与(cc) — 健康(nn) — 管理(nn) — 技术(nsubj) — 回顾(conj) — 介绍(conj) — 现状(dobj) — 在(assmod) — 领域(pobj) — 学术(nn) — 研究(nn),1
技术 → 应用于 → 应用领域,cc->nn->nn->nsubj->conj->conj->dobj->assmod->pobj->nn->punct->conj,与(cc) — 健康(nn) — 管理(nn) — 技术(nsubj) — 回顾(conj) — 介绍(conj) — 现状(dobj) — 在(assmod) — 领域(pobj) — 研究(nn) — 、(punct) — 民用(conj),1
技术 → 应用于 → 应用领域,nn->conj->amod->nn->dobj->assmod->pobj->nn->conj,总线(nn) — 技术(conj) — 先进(amod) — 技术(nn) — 应用(dobj) — 在(assmod) — 领域(pobj) — 工业(nn) — 航空(conj),1
技术 → 应用于 → 应用领域,nn->conj->nn->dobj->assmod->pobj->nn->conj,自动化(nn) — 测试(conj) — 技术(nn) — 应用(dobj) — 在(assmod) — 领域(pobj) — 工业(nn) — 航天(conj),1
技术 → 应用于 → 应用领域,nn->conj->root->nn->amod->nn,智能(nn) — 诊断(conj) — 管(root) — 工具(nn) — 高速(amod) — 交通(nn),1
技术 → 应用于 → 应用领域,nn->nn->assmod->conj->dobj->root->conj->prep->pobj->dep->assmod->plmod->lobj->nn->nn,挖掘(nn) — 数据(nn) — 工具(assmod) — 模式(conj) — 流程(dobj) — 总结(root) — 进行(conj) — 对(prep) — 案例(pobj) — 模式(dep) — 在(assmod) — 中(plmod) — 管理(lobj) — 发动机(nn) — 航空(nn),1
技术 → 应用于 → 应用领域,nn->nn->dobj->assmod->pobj->nn->nn,PHM(nn) — 技术(nn) — 现状(dobj) — 在(assmod) — 领域(pobj) — 学术(nn) — 研究(nn),1
技术 → 应用于 → 应用领域,nn->nn->dobj->assmod->pobj->nn->nn->conj,PHM(nn) — 技术(nn) — 现状(dobj) — 在(assmod) — 领域(pobj) — 研究(nn) — 国外(nn) — 军事(conj),1
技术 → 应用于 → 应用领域,nn->nn->dobj->assmod->pobj->nn->punct->conj,PHM(nn) — 技术(nn) — 现状(dobj) — 在(assmod) — 领域(pobj) — 研究(nn) — 、(punct) — 民用(conj),1
技术 → 应用于 → 应用领域,nn->nn->nn->dobj->assmod->pobj->nn->conj,故障(nn) — 诊断(nn) — 技术(nn) — 应用(dobj) — 在(assmod) — 领域(pobj) — 工业(nn) — 兵器(conj),1
技术 → 应用于 → 应用领域,nn->nn->nn->dobj->assmod->pobj->nn->conj,故障(nn) — 诊断(nn) — 技术(nn) — 应用(dobj) — 在(assmod) — 领域(pobj) — 工业(nn) — 船舶(conj),1
技术 → 应用于 → 应用领域,nn->nn->nn->dobj->assmod->pobj->nn->conj->conj,故障(nn) — 诊断(nn) — 技术(nn) — 应用(dobj) — 在(assmod) — 领域(pobj) — 工业(nn) — 核(conj) — 工业(conj),1
技术 → 应用于 → 系统,amod->nn->dobj->dep->root->prep->pobj->nn->nn,虚拟(amod) — 仪器(nn) — 技术(dobj) — 采用(dep) — 为(root) — 以(prep) — 系统(pobj) — 飞机(nn) — 燃油(nn),1
技术 → 应用于 → 系统,cc->nn->nn->assmod->dobj->dep->root->dep->dobj->assmod->plmod->lobj->nn->nn,和(cc) — 健康(nn) — 管理(nn) — 技术(assmod) — 历程(dobj) — 结合(dep) — 论述(root) — 分析(dep) — 意义(dobj) — 在(assmod) — 中(plmod) — 系统(lobj) — 导弹(nn) — 武器(nn),1
技术 → 应用于 → 系统,cc->nn->nn->assmod->dobj->dep->root->dobj->assmod->plmod->lobj->nn->nn,和(cc) — 健康(nn) — 管理(nn) — 技术(assmod) — 历程(dobj) — 结合(dep) — 论述(root) — 应用(dobj) — 在(assmod) — 中(plmod) — 系统(lobj) — 武器(nn) — 装备(nn),1
技术 → 应用于 → 系统,conj->nn->nn->top->root->conj->dep->prep->pobj->nn,预测(conj) — 故障(nn) — 管理(nn) — 技术(top) — 是(root) — 成为(conj) — 应用(dep) — 于(prep) — 系统(pobj) — 电子(nn),1
技术 → 应用于 → 系统,nn->nn->dobj->dep->root->root->nsubj->nn->nn,健康(nn) — 管理(nn) — 技术(dobj) — 应用(dep) — 达到(root) — 有(root) — 系统(nsubj) — 飞机(nn) — 燃油(nn),1
技术 → 应用于 → 系统,punct->nn->prnmod->nn->top->root->attr->rcmod->ccomp->nsubj->nn->nn,)(punct) — 技术(nn) — PHM(prnmod) — 管理(nn) — 应用(top) — 是(root) — 方法(attr) — 保障(rcmod) — 完成(ccomp) — 任务(nsubj) — 电子(nn) — 系统(nn),1
技术 → 应用于 → 系统,punct->prnmod->assmod->dobj->top->conj->root->top->nn,",(punct) — PHM(prnmod) — 技术(assmod) — 研究(dobj) — 开展(top) — 是(conj) — 是(root) — 系统(top) — 任务(nn)",1
技术 → 应用于 → 维修活动,nsubj->root->root->nsubj->nn,PHM(nsubj) — 处(root) — 是(root) — 维修(nsubj) — 航空(nn),1
技术 → 应用于 → 维护活动,cc->nn->nn->assmod->dobj->dep->root->dep->dobj->assmod->plmod->lobj->conj->nn,和(cc) — 健康(nn) — 管理(nn) — 技术(assmod) — 历程(dobj) — 结合(dep) — 论述(root) — 分析(dep) — 意义(dobj) — 在(assmod) — 中(plmod) — 标准(lobj) — 维护(conj) — 视情(nn),1
技术 → 应用于 → 行业,amod->nn->nsubj->root->conj->prep->pobj->nn,大(amod) — 数据(nn) — 技术(nsubj) — 得到(root) — 得到(conj) — 在(prep) — 领域(pobj) — 航空(nn),1
技术 → 应用于 → 行业,amod->nn->nsubj->root->conj->prep->pobj->nn->nn,大(amod) — 数据(nn) — 技术(nsubj) — 得到(root) — 得到(conj) — 在(prep) — 领域(pobj) — 航空(nn) — 工业(nn),1
技术 → 应用于 → 行业,nn->nn->nsubj->root->conj->prep->plmod->lobj->nn,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 得到(conj) — 在(prep) — 中(plmod) — 行业(lobj) — 能源(nn),1
技术 → 应用于 → 行业,nn->nn->nsubj->root->conj->prep->plmod->lobj->nn->conj,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 得到(conj) — 在(prep) — 中(plmod) — 行业(lobj) — 能源(nn) — 军事(conj),1
技术 → 应用于 → 行业,nn->nn->nsubj->root->conj->prep->plmod->lobj->nn->nn->conj,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 得到(conj) — 在(prep) — 中(plmod) — 行业(lobj) — 能源(nn) — 汽车(nn) — 制造(conj),1
技术 → 应用于 → 行业,nn->nn->nsubj->root->conj->prep->plmod->lobj->nn->nn->conj,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 得到(conj) — 在(prep) — 中(plmod) — 行业(lobj) — 能源(nn) — 航空(nn) — 航天(conj),1
技术 → 应用于 → 行业,nn->nn->nsubj->root->conj->prep->pobj->assmod->pobj->nn,数字(nn) — 孪生体(nn) — 概念(nsubj) — 发展(root) — 起到(conj) — 为(prep) — 发展(pobj) — 在(assmod) — 行业(pobj) — 管道(nn),1
技术 → 应用于 → 装备,cc->nn->top->root->attr->rcmod->nsubj->amod->nn,与(cc) — 健康(nn) — 管理(top) — 是(root) — 技术(attr) — 确保(rcmod) — 发动机(nsubj) — 先进(amod) — 航空(nn),1
技术 → 应用于 → 装备,nn->nn->dobj->conj->root->nsubj->nn,PHM(nn) — 技术(nn) — 影响(dobj) — 分析(conj) — 满足(root) — 模型(nsubj) — 军机(nn),1
技术 → 应用于 → 设备,cc->nn->nn->nn->dobj->root->conj->dobj->nn->nn->conj,与(cc) — 健康(nn) — 管理(nn) — 技术(nn) — 内涵(dobj) — 介绍(root) — 回顾(conj) — 现状(dobj) — 设备(nn) — 交通(nn) — 直升机(conj),1
